Date,Open,High,Low,Close,Volume
2018-08-02,121.06,121.41,117.13,117.47,1877953
2018-08-03,116.94,120.5,115.19,118.73,1004872
2018-08-06,118.9,119.89,118.0,118.99,851949
2018-08-07,118.48,118.85,117.93,118.29,1383912
2018-08-08,118.3,118.73,116.01,116.43,969523
2018-08-09,116.72,117.42,116.05,116.76,973641
2018-08-10,117.34,122.34,117.34,122.34,1898903
2018-08-13,122.03,128.12,121.45,127.52,1588636
2018-08-14,127.59,128.21,124.79,125.4,1963004
2018-08-15,125.48,132.5,124.95,131.94,2409374
2018-08-16,131.19,135.7,130.95,135.45,1068828
2018-08-17,135.4,135.98,134.29,134.87,1245984
2018-08-20,134.95,137.42,134.9,137.36,1278473
2018-08-21,137.58,138.45,135.67,136.53,1335601
2018-08-22,137.36,138.19,134.99,135.82,1219630
2018-08-23,135.85,138.22,135.53,137.9,1543352
2018-08-24,137.86,139.37,137.11,138.62,1463225
2018-08-27,138.57,139.14,137.39,137.96,776589
2018-08-28,137.94,140.6,137.02,139.66,1424334
2018-08-29,139.86,142.59,139.81,142.55,1308352
2018-08-30,143.23,143.78,135.26,135.79,1749261
2018-08-31,135.33,138.03,134.79,137.48,920442
2018-09-03,137.48,138.9,137.18,138.6,952357
2018-09-04,137.57,143.77,136.92,143.1,2881958
2018-09-05,142.35,144.0,140.33,141.98,656095
2018-09-06,142.04,143.41,142.02,143.39,1398035
2018-09-07,142.44,147.23,141.66,146.44,1226106
2018-09-10,146.57,148.8,145.13,147.35,1081108
2018-09-11,147.92,149.51,145.94,147.53,504769
2018-09-12,147.12,148.11,146.8,147.79,1310361
2018-09-13,147.44,151.37,146.16,150.06,987086
2018-09-14,150.05,152.9,149.73,152.58,986822
2018-09-17,152.31,154.45,151.48,153.61,719799
2018-09-18,153.57,154.99,152.84,154.26,1963013
2018-09-19,153.9,154.36,149.18,149.63,962391
2018-09-20,150.01,152.38,148.66,151.02,1430680
2018-09-21,151.14,157.97,150.58,157.39,1430219
2018-09-24,157.33,160.21,155.8,158.67,821397
2018-09-25,157.54,157.82,156.72,157.0,1070427
2018-09-26,156.64,159.93,156.42,159.71,1215121
2018-09-27,159.7,160.06,159.45,159.82,1720898
2018-09-28,160.14,161.58,160.12,161.57,1155201
2018-10-01,161.22,162.11,158.22,159.1,807430
2018-10-02,159.38,161.33,158.2,160.15,1305152
2018-10-03,160.54,162.06,160.44,161.96,1004868
2018-10-04,161.64,162.82,159.08,160.26,1254027
2018-10-05,160.59,162.61,158.11,160.13,707696
2018-10-08,160.02,163.97,159.06,162.99,2038235
2018-10-09,162.41,165.06,161.06,163.71,598371
2018-10-10,163.66,164.5,161.79,162.63,1032733
2018-10-11,163.25,165.0,162.19,163.93,1172169
2018-10-12,164.1,165.75,163.35,165.0,993385
2018-10-15,164.99,166.07,163.86,164.94,816830
2018-10-16,165.34,166.98,164.09,165.73,619372
2018-10-17,166.07,166.87,165.85,166.65,696816
2018-10-18,166.73,169.36,164.77,167.39,574578
2018-10-19,166.42,166.74,165.51,165.82,1049108
2018-10-22,164.51,164.85,164.16,164.5,1122412
2018-10-23,163.65,167.75,161.43,165.51,1052211
2018-10-24,166.31,167.43,160.29,161.38,1223360
2018-10-25,161.69,162.8,160.85,161.96,530198
2018-10-26,161.15,164.65,160.03,163.52,658247
2018-10-29,163.87,164.49,163.32,163.94,1417630
2018-10-30,163.19,164.42,159.38,160.59,666608
2018-10-31,160.63,163.38,158.84,161.57,1069565
2018-11-01,161.98,162.52,160.61,161.15,1215701
2018-11-02,161.04,165.13,161.03,165.13,1702318
2018-11-05,165.48,171.37,164.3,170.16,2267581
2018-11-06,170.56,171.36,166.3,167.08,1997488
2018-11-07,166.16,168.33,164.39,166.56,988831
2018-11-08,166.45,173.91,166.44,173.9,1502025
2018-11-09,174.08,174.92,171.13,171.96,1583519
2018-11-12,171.62,180.47,170.55,179.36,1122196
2018-11-13,178.53,179.67,172.53,173.63,1784929
2018-11-14,174.32,180.77,174.03,180.47,1462481
2018-11-15,180.52,183.27,179.96,182.71,1887997
2018-11-16,182.29,183.1,177.84,178.64,1588188
2018-11-19,178.06,181.68,177.23,180.84,1155892
2018-11-20,180.72,182.24,176.08,177.57,1193526
2018-11-21,178.11,182.74,178.1,182.73,2309985
2018-11-22,182.36,186.62,181.0,185.23,1258563
2018-11-23,185.41,188.8,184.92,188.31,854206
2018-11-26,188.38,188.57,180.44,180.62,1266185
2018-11-27,180.42,187.53,179.99,187.1,2348810
2018-11-28,187.02,187.05,183.32,183.36,1227036
2018-11-29,183.31,183.42,181.18,181.29,972025
2018-11-30,180.69,181.6,180.55,181.45,1204446
2018-12-03,180.58,186.52,177.87,183.76,1342742
2018-12-04,184.07,189.72,183.57,189.2,1640809
2018-12-05,189.94,190.02,181.86,181.94,4033145
2018-12-06,182.18,183.54,180.64,181.99,914430
2018-12-07,181.45,190.51,180.77,189.8,1393420
2018-12-10,189.75,190.38,189.61,190.24,736894
2018-12-11,189.87,190.88,188.99,190.0,1035776
2018-12-12,189.14,190.91,188.68,190.45,1182240
2018-12-13,189.8,190.28,189.79,190.28,740979
2018-12-14,189.88,191.45,189.22,190.78,1933573
2018-12-17,191.02,196.87,190.44,196.27,1062895
2018-12-18,195.53,196.45,193.65,194.56,1238920
2018-12-19,195.16,197.48,193.07,195.4,1324306
2018-12-20,195.35,196.18,191.54,192.35,1384909
2018-12-21,192.98,193.18,189.74,189.93,1115681
2018-12-24,190.44,191.07,188.07,188.7,1425245
2018-12-25,188.75,190.13,185.89,187.26,1268377
2018-12-26,187.28,188.06,180.59,181.35,818814
2018-12-27,181.47,182.24,180.89,181.66,1829068
2018-12-28,181.78,185.13,179.13,182.47,841073
2018-12-31,182.82,183.58,182.06,182.82,898052
2019-01-01,183.79,184.46,183.45,184.12,1533823
2019-01-02,184.43,190.13,183.18,188.85,2497845
2019-01-03,189.7,190.89,189.17,190.36,1150716
2019-01-04,190.87,191.23,183.37,183.71,1012742
2019-01-07,183.48,183.85,180.07,180.43,1906827
2019-01-08,180.67,183.11,180.2,182.63,1136076
2019-01-09,182.95,183.95,181.96,182.95,782064
2019-01-10,183.4,184.23,181.06,181.88,1239651
2019-01-11,181.64,182.31,180.61,181.28,1738394
2019-01-14,181.84,183.64,181.22,183.02,993392
2019-01-15,182.66,183.11,176.77,177.2,1601484
2019-01-16,177.08,180.68,176.41,180.0,1074954
2019-01-17,180.32,180.67,175.53,175.87,1856804
2019-01-18,175.92,177.19,175.67,176.94,1969931
2019-01-21,176.45,179.5,175.97,179.01,933307
2019-01-22,178.29,180.35,177.79,179.83,961282
2019-01-23,179.52,180.63,176.19,177.28,1373812
2019-01-24,176.88,178.66,175.84,177.61,638992
2019-01-25,178.71,178.77,178.15,178.21,946121
2019-01-28,177.61,182.32,175.35,180.03,1620831
2019-01-29,179.23,181.01,179.16,180.94,763917
2019-01-30,182.09,182.49,177.03,177.42,1706760
2019-01-31,176.49,178.85,175.67,178.02,1028327
2019-02-01,177.67,177.68,174.09,174.11,2206010
2019-02-04,174.33,176.69,173.09,175.44,1270006
2019-02-05,175.41,176.21,174.56,175.36,1130042
2019-02-06,175.48,177.54,172.1,174.14,952871
2019-02-07,174.9,176.89,169.32,171.26,1468338
2019-02-08,172.42,175.63,171.97,175.16,1595374
2019-02-11,175.24,178.72,174.73,178.2,2108746
2019-02-12,178.36,180.07,174.89,176.59,1252667
2019-02-13,176.38,178.8,175.74,178.14,970776
2019-02-14,177.81,180.14,177.77,180.09,1451864
2019-02-15,179.81,185.6,178.68,184.44,1716069
2019-02-18,184.51,187.69,183.07,186.24,1127707
2019-02-19,185.91,186.96,183.94,184.98,819459
2019-02-20,185.08,188.11,183.83,186.84,1416858
2019-02-21,186.52,188.51,182.56,184.53,1281865
2019-02-22,183.86,187.27,181.55,184.94,819509
2019-02-25,184.68,185.12,182.6,183.03,1146920
2019-02-26,182.81,186.67,180.56,184.39,1509559
2019-02-27,184.03,187.28,183.24,186.48,1400833
2019-02-28,186.16,191.73,186.14,191.71,1138749
2019-03-01,191.93,196.93,191.88,196.88,1921427
2019-03-04,196.02,197.69,194.14,195.81,1652165
2019-03-05,196.26,197.65,191.7,193.07,1262033
2019-03-06,192.62,193.68,192.32,193.38,635129
2019-03-07,193.2,195.72,192.69,195.2,1215239
2019-03-08,195.83,195.98,190.42,190.56,1529156
2019-03-11,191.0,191.87,190.18,191.05,677225
2019-03-12,189.91,197.28,188.31,195.64,1489197
2019-03-13,195.74,196.42,193.68,194.36,1019927
2019-03-14,195.05,195.32,192.35,192.61,1363083
2019-03-15,191.97,195.07,191.23,194.32,1013842
2019-03-18,193.96,194.62,193.34,193.99,1227180
2019-03-19,194.68,196.06,190.86,192.22,1077439
2019-03-20,191.39,196.98,190.23,195.78,2305032
2019-03-21,196.72,196.84,196.7,196.82,796265
2019-03-22,195.94,198.69,195.7,198.45,819895
2019-03-25,197.93,201.12,193.84,197.01,1600852
2019-03-26,196.6,199.4,192.63,195.42,588224
2019-03-27,195.07,198.69,191.3,194.92,1437140
2019-03-28,195.27,196.17,192.88,193.78,1892780
2019-03-29,193.93,195.34,193.49,194.9,1675062
2019-04-01,194.91,195.63,192.57,193.28,842384
2019-04-02,193.31,200.14,192.18,198.97,1424924
2019-04-03,197.91,199.0,196.98,198.06,981935
2019-04-04,197.59,197.9,195.26,195.57,1277284
2019-04-05,196.11,201.13,194.51,199.51,1093103
2019-04-08,198.7,199.69,197.65,198.64,916544
2019-04-09,199.38,199.55,199.38,199.54,1573004
2019-04-10,199.34,201.69,197.55,199.9,800356
2019-04-11,199.18,201.85,198.37,201.03,1039927
2019-04-12,201.41,202.45,197.93,198.96,926033
2019-04-15,199.32,201.7,199.16,201.54,679585
2019-04-16,201.04,203.02,199.62,201.59,1081743
2019-04-17,201.15,206.0,199.7,204.52,1621229
2019-04-18,203.9,206.18,203.01,205.29,1212615
2019-04-19,204.8,206.73,202.52,204.44,1584649
2019-04-22,202.92,205.02,202.62,204.72,984278
2019-04-23,204.2,205.07,202.61,203.48,1005727
2019-04-24,204.16,204.59,201.26,201.69,1261316
2019-04-25,201.29,203.49,200.43,202.63,701404
2019-04-26,202.77,205.0,199.35,201.56,711574
2019-04-29,201.97,203.75,196.39,198.14,1168524
2019-04-30,198.15,200.91,192.5,195.23,953281
2019-05-01,194.85,195.0,193.85,193.99,933495
2019-05-02,193.59,196.34,189.14,191.86,674089
2019-05-03,191.46,192.18,189.96,190.68,546997
2019-05-06,190.78,192.34,188.01,189.56,1434830
2019-05-07,189.27,195.83,187.88,194.41,1432669
2019-05-08,194.77,197.92,194.42,197.57,1214154
2019-05-09,198.54,200.7,196.62,198.77,1229897
2019-05-10,199.0,199.55,198.66,199.21,739115
2019-05-13,198.28,199.08,197.59,198.39,1232612
2019-05-14,198.52,200.22,194.25,195.93,1132988
2019-05-15,195.74,197.24,195.27,196.77,1829737
2019-05-16,196.46,197.23,194.01,194.78,1965943
2019-05-17,194.28,195.62,192.63,193.97,1424842
2019-05-20,193.74,194.54,192.73,193.53,949228
2019-05-21,195.33,196.08,190.83,191.57,1044123
2019-05-22,193.3,194.62,187.27,188.57,1815641
2019-05-23,189.5,189.64,183.68,183.81,1338944
2019-05-24,183.25,185.5,181.86,184.11,1009169
2019-05-27,184.15,185.42,183.69,184.97,1777182
2019-05-28,185.51,187.52,183.2,185.2,788970
2019-05-29,184.96,187.16,184.9,187.1,897481
2019-05-30,187.39,188.84,186.62,188.07,923595
2019-05-31,188.64,190.7,185.59,187.64,541608
2019-06-03,188.46,191.23,187.75,190.51,794006
2019-06-04,190.71,192.0,189.58,190.87,1266065
2019-06-05,191.0,191.23,189.62,189.84,1203160
2019-06-06,189.65,192.56,188.75,191.65,944188
2019-06-07,191.39,192.18,190.05,190.83,1086747
2019-06-10,190.85,192.54,187.03,188.7,935073
2019-06-11,188.58,193.17,185.33,189.9,1651640
2019-06-12,190.28,192.82,189.92,192.46,1424774
2019-06-13,192.58,193.12,192.35,192.89,1286013
2019-06-14,192.7,195.72,192.47,195.5,1167367
2019-06-17,196.3,197.55,194.31,195.56,831229
2019-06-18,195.3,196.29,190.63,191.6,925229
2019-06-19,191.88,192.13,190.68,190.92,976032
2019-06-20,191.14,193.85,191.14,193.85,1650106
2019-06-21,193.44,194.29,191.9,192.75,997514
2019-06-24,192.68,193.66,191.7,192.69,954408
2019-06-25,192.76,193.61,189.41,190.25,907487
2019-06-26,189.86,192.38,188.48,190.99,777043
2019-06-27,190.17,192.98,189.33,192.14,1053807
2019-06-28,193.59,193.78,189.77,189.95,853352
2019-07-01,189.51,192.06,187.84,190.38,1367061
2019-07-02,190.13,194.16,188.93,192.94,789168
2019-07-03,192.71,197.89,190.47,195.61,1716535
2019-07-04,195.52,196.76,194.13,195.36,1067988
2019-07-05,195.79,199.12,195.75,199.07,1689539
2019-07-08,199.48,200.87,197.3,198.69,955862
2019-07-09,198.26,199.58,197.42,198.74,2033069
2019-07-10,198.87,199.65,197.1,197.88,1119923
2019-07-11,198.2,201.96,196.49,200.24,1585186
2019-07-12,200.05,204.04,196.94,200.92,1022475
2019-07-15,201.52,203.24,196.87,198.56,1705522
2019-07-16,198.65,198.8,196.99,197.13,1292676
2019-07-17,197.61,198.6,197.2,198.19,1241619
2019-07-18,197.51,202.11,197.18,201.76,1344299
2019-07-19,202.77,204.13,202.02,203.37,693702
2019-07-22,203.22,205.61,198.57,200.93,1359670
2019-07-23,200.29,201.19,198.04,198.93,977009
2019-07-24,198.36,198.87,197.64,198.14,1701285
2019-07-25,197.65,200.43,196.62,199.39,939822
2019-07-26,199.56,200.13,198.7,199.28,1039563
2019-07-29,197.91,199.07,196.94,198.1,1340711
2019-07-30,197.5,198.86,196.83,198.18,814083
2019-07-31,198.82,200.21,197.99,199.38,2616654
2019-08-01,200.11,200.99,199.77,200.65,1042428
2019-08-02,200.0,203.13,199.71,202.83,1513977
2019-08-05,202.92,206.31,200.84,204.21,1079630
2019-08-06,204.36,205.8,203.13,204.57,931297
2019-08-07,204.45,205.81,202.46,203.81,768385
2019-08-08,203.49,205.7,202.71,204.91,1210558
2019-08-09,205.44,207.2,202.78,204.53,984580
2019-08-12,204.4,208.43,203.46,207.47,1547546
2019-08-13,207.64,210.93,205.16,208.44,1392577
2019-08-14,208.97,214.02,207.34,212.36,1946682
2019-08-15,211.8,212.8,210.74,211.74,927784
2019-08-16,211.21,211.51,211.04,211.34,808952
2019-08-19,212.81,214.17,209.99,211.34,530619
2019-08-20,210.76,212.16,208.55,209.95,1870593
2019-08-21,210.7,210.84,209.25,209.38,842427
2019-08-22,210.17,210.18,207.45,207.45,1358769
2019-08-23,207.57,207.84,206.34,206.61,762575
2019-08-26,206.47,206.69,204.14,204.36,1319031
2019-08-27,204.36,205.1,202.29,203.03,1553225
2019-08-28,202.63,203.7,201.32,202.39,1391241
2019-08-29,202.45,203.29,200.43,201.26,1076131
2019-08-30,201.18,204.13,200.06,203.0,902548
2019-09-02,202.73,204.11,201.82,203.2,1303348
2019-09-03,203.03,205.45,202.59,205.0,1074459
2019-09-04,205.57,206.73,203.31,204.47,1212162
2019-09-05,204.52,205.65,203.55,204.67,1047696
2019-09-06,204.59,205.51,203.29,204.2,683876
2019-09-09,205.42,206.01,202.83,203.42,983901
2019-09-10,203.46,205.03,201.12,202.68,2379245
2019-09-11,203.11,204.44,201.77,203.11,1386309
2019-09-12,202.63,203.95,201.76,203.08,1038709
2019-09-13,202.5,205.18,201.98,204.66,1640851
2019-09-16,205.0,206.54,203.46,204.99,822857
2019-09-17,205.63,206.21,205.17,205.75,1123040
2019-09-18,203.97,205.04,202.9,203.97,2416797
2019-09-19,204.43,206.02,200.93,202.51,1408739
2019-09-20,203.02,207.51,200.51,204.97,1203303
2019-09-23,205.03,205.56,204.93,205.46,867007
2019-09-24,205.89,207.4,205.57,207.07,1547460
2019-09-25,206.45,209.33,205.25,208.11,1293739
2019-09-26,208.38,209.34,207.13,208.09,597034
2019-09-27,207.43,208.32,205.89,206.78,1128263
2019-09-30,206.66,208.71,205.67,207.72,1020346
2019-10-01,207.5,212.16,205.25,209.88,1251523
2019-10-02,209.99,212.17,209.38,211.55,880681
2019-10-03,210.71,210.92,207.86,208.07,1665209
2019-10-04,208.25,208.88,207.1,207.73,1033679
2019-10-07,207.96,210.79,204.38,207.19,1568942
2019-10-08,207.91,211.0,207.36,210.44,997519
2019-10-09,210.08,211.0,208.87,209.79,656873
2019-10-10,210.1,211.54,209.37,210.8,1058139
2019-10-11,210.39,212.67,209.4,211.67,982320
2019-10-14,211.99,213.41,211.09,212.51,1077053
2019-10-15,212.1,213.23,209.48,210.6,2125433
2019-10-16,209.93,211.09,209.52,210.68,917232
2019-10-17,210.31,214.74,207.76,212.17,927970
2019-10-18,213.15,214.26,211.65,212.75,992319
2019-10-21,213.67,215.37,212.67,214.37,1087108
2019-10-22,214.42,216.02,211.25,212.85,1427139
2019-10-23,212.92,213.08,209.81,209.97,1257057
2019-10-24,210.21,211.84,210.1,211.72,1636150
2019-10-25,210.79,213.99,209.81,213.01,796559
2019-10-28,214.27,216.98,213.36,216.07,1192101
2019-10-29,215.47,218.04,215.31,217.87,1261533
2019-10-30,217.1,217.85,215.44,216.19,1344360
2019-10-31,216.08,217.48,214.9,216.3,752898
2019-11-01,215.68,220.04,212.7,217.04,914750
2019-11-04,217.25,217.77,216.73,217.25,764929
2019-11-05,217.68,218.55,214.5,215.37,992524
2019-11-06,215.17,217.26,213.08,215.18,1239973
2019-11-07,215.29,216.75,214.69,216.15,1314210
2019-11-08,215.77,217.36,214.71,216.31,890540
2019-11-11,215.22,216.73,213.45,214.96,724923
2019-11-12,214.16,216.75,210.76,213.33,909743
2019-11-13,214.6,217.74,212.81,215.95,1627818
2019-11-14,215.88,219.11,214.01,217.22,1023459
2019-11-15,216.04,216.43,215.04,215.43,1439727
2019-11-18,214.71,216.17,213.96,215.42,1564334
2019-11-19,214.88,215.48,214.53,215.13,1366731
2019-11-20,215.61,219.22,214.61,218.22,958863
2019-11-21,218.29,218.37,217.57,217.65,1214854
2019-11-22,218.59,220.32,216.43,218.17,1157075
2019-11-25,219.4,220.17,219.05,219.81,1386946
2019-11-26,220.21,221.46,216.93,218.17,957299
2019-11-27,218.52,218.8,218.45,218.72,638951
2019-11-28,219.53,219.73,218.15,218.35,1552083
2019-11-29,218.09,219.0,216.62,217.53,1108980
2019-12-02,217.36,221.23,216.54,220.39,1119814
2019-12-03,219.31,222.97,218.55,222.2,1076578
2019-12-04,222.72,225.59,222.55,225.42,3534847
2019-12-05,224.84,225.65,224.39,225.19,796950
2019-12-06,225.38,228.82,223.39,226.82,1486385
2019-12-09,228.45,229.55,224.36,225.45,1042637
2019-12-10,224.55,230.97,224.11,230.52,1575376
2019-12-11,230.18,231.77,230.06,231.64,1230211
2019-12-12,230.94,234.23,229.68,232.96,1469331
2019-12-13,232.17,233.05,229.95,230.83,1080676
2019-12-16,231.31,233.05,228.89,230.62,1405370
2019-12-17,229.51,231.8,227.57,229.86,1151307
2019-12-18,230.05,232.99,228.05,230.98,1373059
2019-12-19,231.02,235.97,229.44,234.36,570283
2019-12-20,235.08,235.71,233.18,233.8,873145
2019-12-23,232.55,235.88,229.71,233.03,1259948
2019-12-24,232.14,234.05,228.98,230.88,862311
2019-12-25,231.54,232.08,231.01,231.55,1239063
2019-12-26,230.26,231.48,229.97,231.19,858803
2019-12-27,231.28,231.9,229.53,230.14,1454022
2019-12-30,230.89,232.27,228.7,230.07,847763
2019-12-31,228.99,229.1,228.65,228.76,1112268
2020-01-01,228.0,228.92,226.11,227.03,1331961
2020-01-02,227.59,235.38,224.6,232.33,2469791
